#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,50,https://www.dol.gov/agencies/whd/state/contacts,"State Labor Offices | U.S. Department of Labor",63,121,https://www.illinois.gov/agency/idol,Dofollow,,www.state.il.us/agency/idol,,404,"2020-04-21 15:36:15",2020-03-01T05:45:37Z
2,49,https://www.dol.gov/agencies/whd/flsa/misclassification,"Misclassification of Employees as Independent Contractors | U.S. Department of Labor",85,33,https://www.msha.gov/TRAINING/PART46/ctrPAMPHLET/ctrpamphlet.htm,Dofollow,,"Training Requirements for Independent Contractors, Mine Safety and Health Division",,404,"2020-03-29 18:53:43",2020-02-28T17:48:59Z
2,49,https://www.dol.gov/agencies/whd/flsa/misclassification,"Misclassification of Employees as Independent Contractors | U.S. Department of Labor",85,33,https://www.whistleblowers.gov/know_your_rights.html,Dofollow,,"Know Your Rights",,404,"2020-03-25 07:33:30",2020-02-28T17:48:59Z
3,45,https://www.dol.gov/agencies/whd/fact-sheets/73-flsa-break-time-nursing-mothers,"Fact Sheet #73: Break Time for Nursing Mothers under the FLSA | U.S. Department of Labor",66,33,http://www.usbreastfeeding.org/coalitions-directory,Dofollow,,"U.S. Breastfeeding Committee, Workplace Support and Coalitions Directory",,404,"2020-04-09 13:00:18",2020-03-29T12:09:17Z
3,45,https://www.dol.gov/agencies/whd/fact-sheets/73-flsa-break-time-nursing-mothers,"Fact Sheet #73: Break Time for Nursing Mothers under the FLSA | U.S. Department of Labor",66,33,https://ilca.org/,Dofollow,,"International Lactation Consultants Association, Worksite Lactation Support Directory",,404,"2020-03-15 04:36:26",2020-03-29T12:09:17Z
4,40,https://www.dol.gov/general/stormrecovery,"Severe Storm and Flood Recovery Assistance | U.S. Department of Labor",128,63,https://www.bls.gov/cew/hurricane_zones/2018/michael/,Dofollow,,"Learn more at BLS.gov",,404,"2020-04-17 07:40:11",2020-04-03T04:44:48Z
4,40,https://www.dol.gov/general/stormrecovery,"Severe Storm and Flood Recovery Assistance | U.S. Department of Labor",128,63,https://www.osha.gov/OshDoc/data_Hurricane_Facts/chainsaws.html,Dofollow,,Chainsaws,"[ PDF ] / [ En Español ]",404,"2020-04-14 18:24:32",2020-04-03T04:44:48Z
5,40,https://www.dol.gov/general/location,"Services By Location | U.S. Department of Labor",86,178,http://www.floridajobs.org/job-seekers-community-services/reemployment-assistance-center/claimants/apply-for-benefits,Dofollow,,"Apply for Unemployment Benefits in Florida",,404,"2020-04-04 03:16:04",2020-04-04T04:42:45Z
5,40,https://www.dol.gov/general/location,"Services By Location | U.S. Department of Labor",86,178,https://www.nj.gov/labor/ui/file.html,Dofollow,,"Apply for Unemployment Benefits in New Jersey",,404,"2020-04-03 15:46:41",2020-04-04T04:42:45Z
6,38,https://www.dol.gov/agencies/vets/programs/hvrp,"Homeless Veterans' Reintegration Program | U.S. Department of Labor",83,27,https://www.hud.gov/program_offices/comm_planning/veteran_information,Dofollow,,HUDVet,,404,"2020-04-07 10:31:05",2020-04-03T19:47:00Z
7,32,https://www.dol.gov/apprenticeship/toolkit.htm,"Apprenticeship — Tool Kit - United States Department of Labor",47,27,https://www.doleta.gov/OA/new_sstories.cfm,Dofollow,,"Read more apprenticeship success stories.",,404,"2020-04-17 17:01:02",2020-03-21T17:49:53Z
8,32,https://enforcedata.dol.gov/homePage.php,"Enforcement Data - U.S. Department of Labor",26,7,https://www.msha.gov/REGS/ACT/ACT1.HTM,Dofollow,"Section of the","Mine Act","under which the",404,"2020-04-09 13:33:20",2020-04-10T13:04:10Z
9,31,https://www.dol.gov/agencies/oasam/orientation/forms/new-employee,"Forms for New Employees | U.S. Department of Labor",45,53,https://www.tsp.gov/forms/civilianforms.html,Dofollow,*,"Thrift Savings Program Election Form",,404,"2020-04-20 03:49:31",2020-04-13T07:37:05Z
9,31,https://www.dol.gov/agencies/oasam/orientation/forms/new-employee,"Forms for New Employees | U.S. Department of Labor",45,53,http://usptocareers.gov/files/selective_placement.pdf,Dofollow,,"Statement of Selective Service (if necessary)",,"Cannot resolve host","2020-04-17 18:57:15",2020-04-13T07:37:05Z
9,31,https://www.dol.gov/agencies/oasam/orientation/forms/new-employee,"Forms for New Employees | U.S. Department of Labor",45,53,https://www.tsp.gov/forms/formspubs.html,Dofollow,,"TSP Plan Summary",,404,"2020-03-24 20:14:06",2020-04-13T07:37:05Z
10,30,https://webapps.dol.gov/elaws/faq/esa/flsa/026.htm,"elaws - Fair Labor Standards Act Advisor",41,4,https://www.youthrules.gov/jobs.htm,Dofollow,"businesses owned by their parents (except in mining, manufacturing or","hazardous jobs","); and perform babysitting or perform minor chores around a",404,"2020-04-15 22:27:45",2020-04-16T23:50:50Z
11,30,https://www.dol.gov/whd/workers/Misclassification/index.htm,"Employee Misclassification as Independent Contractors - Wage and Hour Division (WHD) - U.S. Department of Labor",58,20,https://www.msha.gov/TRAINING/PART46/ctrPAMPHLET/ctrpamphlet.htm,Dofollow,,"Training Requirements for Independent Contractors, Mine Safety and Health Division",,404,"2020-03-29 18:53:43",2020-04-10T20:22:42Z
11,30,https://www.dol.gov/whd/workers/Misclassification/index.htm,"Employee Misclassification as Independent Contractors - Wage and Hour Division (WHD) - U.S. Department of Labor",58,20,https://www.whistleblowers.gov/know_your_rights.html,Dofollow,,"Know Your Rights",,404,"2020-03-25 07:33:30",2020-04-10T20:22:42Z
12,28,https://www.dol.gov/agencies/ilab/resources/reports/child-labor/colombia,"Findings on the Worst Forms of Child Labor - Colombia | U.S. Department of Labor",63,125,https://www.elpais.com.co/cali/noticias/cali-hay-por-menos-2753-menores-trabajadores-dice-ministerio-trabajo,Dofollow,,http://www.elpais.com.co/elpais/cali/noticias/cali-hay-por-menos-2753-menores-trabajadores-dice-ministerio-trabajo.,,404,"2020-04-20 07:52:10",2020-04-21T00:15:49Z
12,28,https://www.dol.gov/agencies/ilab/resources/reports/child-labor/colombia,"Findings on the Worst Forms of Child Labor - Colombia | U.S. Department of Labor",63,125,http://assets.coca-colacompany.com/fd/d8/4c5ed29842cba83b99349b7a58af/colombia-sugar-industry-situational-analysis.pdf,Dofollow,,http://assets.coca-colacompany.com/fd/d8/4c5ed29842cba83b99349b7a58af/colombia-sugar-industry-situational-analysis.pdf.,,"Cannot resolve host","2020-03-18 16:56:28",2020-04-21T00:15:49Z
13,27,https://www.dol.gov/agencies/ilab/resources/reports/child-labor/zimbabwe,"Findings on the Worst Forms of Child Labor - Zimbabwe | U.S. Department of Labor",55,79,https://devtracker.dfid.gov.uk/projects/GB-1-204831/documents.,Dofollow,,https://devtracker.dfid.gov.uk/projects/GB-1-204831/documents.,,404,"2020-04-21 21:22:29",2020-04-10T13:40:11Z
13,27,https://www.dol.gov/agencies/ilab/resources/reports/child-labor/zimbabwe,"Findings on the Worst Forms of Child Labor - Zimbabwe | U.S. Department of Labor",55,79,https://devtracker.dfid.gov.uk/projects/GB-1-202641/documents.,Dofollow,,https://devtracker.dfid.gov.uk/projects/GB-1-202641/documents.,,404,"2020-04-18 16:26:50",2020-04-10T13:40:11Z
