#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"HTTP Code","DP check","RP check",Traffic,Keywords,"Linked Domains"
1,0,24,29,http://2dogsmusic.com/2009/05/05/and-so-it-is-started/,"And so it is started… « 2dogsBlog",9,2568,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,,"Hunger Games La Révolte Partie 1 Streaming",,"Nofollow, UGC",404,"2020-04-16 02:14:03","2020-04-21 01:11:40",0,4,1042
2,4,17,29,http://godolloireiki.hu/comment.php?comment.news.45,"Hírek / Hozzászólás / Napi HAIKU : 19. Telihold - Andrej András reiki mester oldala",74,9130,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,From:,"100 Day Loans",,"Dofollow, Content",404,"2020-04-16 02:14:03","2020-04-21 02:22:02",,,5438
3,86,16,4,http://kobestream.blog.jp/archives/36973343.html,"神戸ストリーム : 島根県出雲市／出雲大社 その⑧～大社東側の摂社「命主社」「乙見社」「出雲井社」",9,3359,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,,"Supreme Garcinia",,Dofollow,404,"2020-04-16 02:14:03","2020-04-11 01:34:36",0,0,2078
4,4,14,4,https://dansullivaninsurance.com/blog/,"Insurance Blog - Fort Walton Beach",64,55,"https://www.iii.org/insuranceindustryblog/preparing-for-a-pandemic-should-be-part-of-every-households-emergency-plan/ target=","Courtesy of",iii.org,,Nofollow,404,"2020-04-02 10:14:53","2020-04-18 07:35:06",0,3,18
5,64,14,1,https://www.360nobs.com/2013/05/zimbabwes-bba-representive-pokellos-sextape-leaks-photos/,"Zimbabwe's BBA representive, Pokello's sextape leaks (Photos) | 360Nobs.com",127,45,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,,"Hydravella Reviews",,"Nofollow, UGC",404,"2020-04-16 02:14:03","2020-04-16 18:15:06",0,0,18
6,91,14,1,https://www.prnewswire.com/news-releases/water-water-everywhere--but-when-it-floods-is-the-damage-covered-by-your-insurance-252654461.html,"Water, Water Everywhere … But When It Floods, Is The Damage Covered By Your Insurance?",441,65,http://www.iii.org/thefineprint/index.php/welcome/,"blogs at","The Fine Print",.,"Nofollow, Content",404,"2020-04-02 09:20:24","2020-02-08 09:24:41",0,0,20
7,91,13,0,https://www.prnewswire.com/news-releases/iii-insurance-tips-for-homeowners-renting-out-their-homes-for-super-bowl-week-241521621.html,"I.I.I. Insurance Tips for Homeowners Renting Out Their Homes for Super Bowl Week",462,51,http://www.iii.org/thefineprint/index.php/welcome/,"vice president, chief communications officer and author of the I.I.I.'s","Fine Print Blog",.,"Nofollow, Content",404,"2020-04-02 09:20:24","2020-03-06 17:18:36",0,0,15
8,91,13,0,https://www.prnewswire.com/news-releases/vacationers-concerned-about-extreme-weather-urged-to-consider-travel-insurance-244947241.html,"Vacationers Concerned About Extreme Weather Urged To Consider Travel Insurance",488,47,http://www.iii.org/thefineprint/index.php/welcome/,"blogs at","The Fine Print",.,"Nofollow, Content",404,"2020-04-02 09:20:24","2020-03-17 02:16:04",0,0,16
9,55,13,4,http://blog.sanriotown.com/iheartbadtz:mymelody.com/2008/12/19/first-look-at-new-york-and-badtz-hunting,"Sunny Side Up » First Look at New York and Badtz Hunting",44,3665,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,,"did anyone win lotto",Said:,Nofollow,404,"2020-04-16 02:14:03","2020-04-14 01:01:25",0,0,2196
10,75,12,1,http://liberalistht.air-nifty.com/essay/2013/02/post-818a.html,"猪木正道先生を偲ぶ会: 自游人の独り言",31,1154,https://www.iii.org/insuranceindustryblog/wp-trackback.php?p=3751,"Posted by:",Berenice,"| May 29, 2015 12:31 AM",Nofollow,404,"2020-04-16 02:14:03","2020-04-18 19:33:16",0,0,626
11,68,11,0,https://www.futurestay.com/read/holiday-rentals/management/winter-preparation/,"Winter Preparation for Vacation Rental Owners",37,14,https://www.www.iii.org/fact-statistic/winter-storms,"find water damage. Water damage is usually the result of","winter storms",". The Insurance Institute for Business and Home Safety (IBHS)","Dofollow, Content","Cannot resolve host","2020-04-12 00:52:17","2020-04-17 16:09:01",0,5,10
12,75,11,0,https://insurancenewsnet.com/oarticle/III-Insurance-Tips-for-Homeowners-Renting-Out-Their-Homes-for-Super-Bowl-Week-a-448591,"I.I.I. Insurance Tips for Homeowners Renting Out Their Homes for Super Bowl Week - InsuranceNewsNet",76,40,http://www.iii.org/thefineprint/index.php/welcome/,"vice president, chief communications officer and author of the I.I.I.'s","Fine Print Blog",.,Nofollow,404,"2020-04-02 09:20:24","2020-03-17 14:44:29",0,0,10
13,71,11,1,https://simplisafe.com/blog/home-inventory-tips,"A Great Weekend Project That Will Leave Your Valuables Way Safer | Alarm Systems",33,16,http://www.iii.org/thefineprint/index.php/welcome/,"can be reached at photocourses@afosterandson.co.uk , Jeanne Salvatore of the","Fine Print Blog",", Paul Upton, and Chief Joseph Balog of the Genoa","Dofollow, Content",404,"2020-04-02 09:20:24","2020-04-17 18:04:06",0,7,9
