#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,38,https://injury.findlaw.com/accident-injury-law/time-limits-to-bring-a-case-the-statute-of-limitations.html,"Time Limits to Bring a Case: The 'Statute of Limitations' - FindLaw",120,97,https://legislature.idaho.gov/idstat/Title5/T5CH2SECT5-219.htm,Dofollow,,"Idaho Code Sec. 5-219",,404,"2020-04-16 13:46:05",2020-03-18T15:53:54Z
1,38,https://injury.findlaw.com/accident-injury-law/time-limits-to-bring-a-case-the-statute-of-limitations.html,"Time Limits to Bring a Case: The 'Statute of Limitations' - FindLaw",120,97,http://162.114.4.13/KRS/413-00/CHAPTER.HTM,Dofollow,,"Ky. Rev. Stat. Sec. 413.140",,404,"2020-04-14 11:46:19",2020-03-18T15:53:54Z
1,38,https://injury.findlaw.com/accident-injury-law/time-limits-to-bring-a-case-the-statute-of-limitations.html,"Time Limits to Bring a Case: The 'Statute of Limitations' - FindLaw",120,97,http://www.leg.state.nv.us/NRS/NRS-011.html,Dofollow,,"Nev. Rev. Stat. Sec 11.190",,404,"2020-03-29 04:02:52",2020-03-18T15:53:54Z
1,38,https://injury.findlaw.com/accident-injury-law/time-limits-to-bring-a-case-the-statute-of-limitations.html,"Time Limits to Bring a Case: The 'Statute of Limitations' - FindLaw",120,97,http://www.lexisnexis.com/hottopics/michie,Dofollow,,"Vt. Stat. Ann. Title 12, Sec. 512",,404,"2020-03-24 14:58:59",2020-03-18T15:53:54Z
1,38,https://injury.findlaw.com/accident-injury-law/time-limits-to-bring-a-case-the-statute-of-limitations.html,"Time Limits to Bring a Case: The 'Statute of Limitations' - FindLaw",120,97,https://www.cga.ct.gov/2008/sup/chap926.htm,Dofollow,,"Conn. Gen. State. Sec. 52-584",,404,"2020-03-23 08:48:17",2020-03-18T15:53:54Z
2,30,https://injury.findlaw.com/workers-compensation/workers-compensation-laws-by-state.html,"Workers' Compensation Laws by State - FindLaw",111,112,https://dlr.sd.gov/workerscomp/default.aspx,Dofollow,,"Department of Labor and Regulation",,404,"2020-04-18 10:35:06",2020-04-12T12:13:25Z
2,30,https://injury.findlaw.com/workers-compensation/workers-compensation-laws-by-state.html,"Workers' Compensation Laws by State - FindLaw",111,112,http://lwd.dol.state.nj.us/labor/wc/wc_index.html,Dofollow,,"Department of Labor and Workforce Development",,404,"2020-02-14 10:09:33",2020-04-12T12:13:25Z
3,29,https://injury.findlaw.com/torts-and-personal-injuries/exotic-animal-laws-by-state.html,"Exotic Animal Laws by State - FindLaw",187,83,https://www.leg.state.nv.us/nac/NAC-504.html,Dofollow,"; 503.110 ; 503.140 ;",504.488,,404,"2020-04-01 06:06:49",2020-04-03T10:30:50Z
3,29,https://injury.findlaw.com/torts-and-personal-injuries/exotic-animal-laws-by-state.html,"Exotic Animal Laws by State - FindLaw",187,83,https://www.leg.state.nv.us/NAC/NAC-503.html,Dofollow,"504.295 ;",503.110,"; 503.140 ; 504.488",404,"2020-03-24 07:19:56",2020-04-03T10:30:50Z
4,28,https://injury.findlaw.com/car-accidents/truck-accident-law-what-you-need-to-know.html,"Truck Accident Law: What You Need to Know",127,42,http://www.cdlresources.org/laws-and-cases/,Dofollow,"follow the state statutes and case law on commercial drivers'",licensing,". If the driver involved in an accident with you",404,"2020-03-20 01:41:29",2020-04-12T01:41:37Z
