#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"HTTP Code","DP check","RP check",Traffic,Keywords,"Linked Domains"
1,73,26,35,https://www.thezebra.com/insurance-news/848/uber-vs-lyft/,"Uber vs. Lyft: Which is Better for Riders and Drivers?",86,78,https://www.policygenius.com/blog/wp-content/uploads/2014/10/uber_insurance_coverage_infographic_blog_7.22.png/,,https://www.policygenius.com/blog/wp-content/uploads/2014/10/uber_insurance_coverage_infographic_blog_7.22.png,,Nofollow,404,"2020-04-14 06:02:30","2020-04-19 14:19:45",25,917,44
2,91,21,11,https://www.wikihow.com/Cancel-Life-Insurance,"How to Cancel Life Insurance: 13 Steps (with Pictures) - wikiHow",45,23,https://www.policygenius.com/life-insurance/guide/application-process,,https://www.policygenius.com/life-insurance/guide/application-process,,Nofollow,404,"2020-04-15 23:09:50","2019-04-28 18:40:38",66,124,14
3,75,19,28,https://www.betterment.com/resources/3-important-types-of-insurance-when-preparing-for-retirement/,"3 Important Types of Insurance to Have When Preparing for Retirement | Betterment",41,25,https://www.policygenius.com/life-insurance/guide/permanent-life-versus-term-life-insurance,"yet more expensive to obtain. Even if you have a","term or whole life insurance policy","that’s carrying through to old age, chances are you’ll no","Dofollow, Content",404,"2020-04-15 03:26:07","2020-04-20 13:11:06",0.05,1,14
4,70,16,6,https://says.com/my/lifestyle/the-ultimate-guide-to-a-monthly-budget-and-how-to-stick-to-it,"The Ultimate Guide To A Monthly Budget And How To Stick To It (Point #3 Is The Hardest)",31,15,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,"Image via","Policy Genius",,Dofollow,404,"2020-04-03 13:38:07","2020-04-15 20:37:47",1.3,1,12
5,4,15,9,http://please-dont-ask-me-i-dont-remember.blogspot.com/,please-dont-ask-me-i-dont-remember,22,64,https://www.policygenius.com/insurance-advice/choose-individual-health-insurance-plan/,"looking to take the next step we've put together a","handy checklist","detailing how to go about shopping on the exchanges.",Dofollow,404,"2020-03-23 12:22:18","2020-04-18 11:38:05",0,0,20
6,4,15,9,http://please-dont-ask-me-i-dont-remember.blogspot.com/,please-dont-ask-me-i-dont-remember,22,64,https://www.policygenius.com/insurance-advice/shopping-the-aca-health-insurance-exchanges/,"actual shopping experience is like, we published a detailed account",titled,", "" What no one tells you about shopping the",Dofollow,404,"2020-04-14 21:08:59","2020-04-18 11:38:05",0,0,20
7,93,14,,http://forum.addthis.com/blog/2014/03/31/show-your-pro-contest-winners/,"""Show Your Pro"" Contest Winners | AddThis Blog",52,23,https://www.policygenius.com/insurance-advice/,,PolicyGenuis.com,,Dofollow,404,"2020-03-25 01:52:12","2017-01-12 21:36:52",,,15
8,92,14,1,http://www.msn.com/en-us/travel/tripideas/overrated-spring-break-destinations-and-where-to-go-instead/ss-BBUCsJm,"Overrated spring break destinations & where to go instead",0,2,https://www.policygenius.com/blog/6-under-the-radar-spring-break-trips-for-your-family/,,,,"Dofollow, Canonical",404,"2020-04-04 02:49:01","2019-04-14 07:46:03",0,0,1
9,90,13,0,https://directory.libsyn.com/episode/index/show/themoneytwins/id/6545705,"Libsyn Directory",35,9,https://www.policygenius.com/ruttenberg,"parent really is saving the family. Get a free quote online at",Policygenius,". It's fast and easy and will give you an","Dofollow, Content",404,"2020-04-19 13:27:33","2019-09-15 15:53:49",0,0,6
10,90,13,0,https://directory.libsyn.com/episode/index/show/themoneytwins/id/6625794,"Libsyn Directory",21,6,https://www.policygenius.com/ruttenberg,"answer the questions; “When is it worth while to buy","life insurance","?”, and “Why is it hard for me to be","Dofollow, Content",404,"2020-04-19 13:27:33","2019-05-28 12:02:34",0,0,5
11,85,12,0,"https://www.diigo.com/tag/life quote","life, quote | Diigo",86,8,https://www.policygenius.com/life-insurance/mlp-1-pgbtn/,,"Life Insurance Quotes - Compare & Get Best Rates | Policygenius",,Dofollow,404,"2020-03-27 06:28:30","2019-02-25 11:18:03",0,0,6
12,85,12,0,"https://www.diigo.com/tag/life quote quotes","life, quote, quotes | Diigo",83,7,https://www.policygenius.com/life-insurance/mlp-1-pgbtn/,,"Life Insurance Quotes - Compare & Get Best Rates | Policygenius",,Dofollow,404,"2020-03-27 06:28:30","2019-06-01 04:52:19",0,0,6
13,82,12,0,https://gfycat.com/pastlivelyharvestmen,"Girls Parents Gif Save Money GIF | Gfycat",62,2,https://www.policygenius.com/blog/library/uploads/2015/09/girls_gif.gif/,,policygenius.com,,Nofollow,404,"2020-03-29 13:20:08","2019-11-26 02:19:14",0,0,1
14,82,12,0,https://gfycat.com/unsteadyneighboringfritillarybutterfly,"A Cold Isn’t Fun For Anyone, But If You’re Having Your Drug Test You Might Need ... | Gfycat",67,2,https://www.policygenius.com/blog/library/uploads/2016/05/cold-medicine.gif/,,policygenius.com,,"Nofollow, Content",404,"2020-04-19 11:11:32","2019-10-30 18:59:35",0,0,1
15,69,11,1,https://www.chime.com/blog/9-financial-empowerment-tips-for-the-newly-single/?src=cb,"9 Financial Empowerment Tips for the Newly Single - Banking Made Awesome",21,17,https://www.policygenius.com/life-insurance/the-single-parent's-guide-to-life-insurance/,"on your own. Taking ownership of your finances as a","newly single person","can be especially challenging.","Dofollow, Content",404,"2020-03-20 09:23:55","2020-04-09 01:32:13",0,0,8
16,74,11,0,https://forum.mrmoneymustache.com/investor-alley/investment-managers-might-legally-have-to-give-good-advice!/,"Investment Managers might legally have to give good advice?!",29,11,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,Source:,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,,Dofollow,404,"2020-03-19 23:11:15","2019-12-10 07:12:37",0,0,8
17,53,11,1,https://bobsullivan.net/gotchas/hate-paying-for-bad-money-advice-this-new-rule-should-make-you-happy/,"Hate paying for bad money advice? This new rule should make you happy — bobsullivan.net",21,18,https://www.policygenius.com/blog/dave-ramsey-the-fiduciary-rule-and-you/,"of a noisy bit of “Obama is hurting America” misdirection","from folks like Dave Ramsey","(who suggested the rule might force financial gurus off the","Dofollow, Content",404,"2020-03-19 23:11:15","2020-04-16 15:00:20",0,0,14
18,61,11,1,https://www.advisoryhq.com/articles/the-best-pet-insurance/,"The Best Pet Insurance | 2017 Ranking | Top 6 Sites to Compare Pet Insurance Quotes (Comparison Reviews) – AdvisoryHQ",148,21,https://www.policygenius.com/pet-insurance/checkup,"to compare pet insurance also allows you to complete an","insurance checkup",", where you can receive advice and assistance from their","Dofollow, Content",404,"2020-04-18 12:56:33","2020-04-01 04:15:09",0,0,12
19,70,10,0,http://jennyezra.says.com/my/lifestyle/the-ultimate-guide-to-a-monthly-budget-and-how-to-stick-to-it,"The Ultimate Guide To A Monthly Budget And How To Stick To It (Point #3 Is The Hardest)",44,13,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,"Image via","Policy Genius",,Dofollow,404,"2020-04-03 13:38:07","2019-11-08 12:54:05",0,0,11
20,70,10,0,http://simon.says.com/my/lifestyle/the-ultimate-guide-to-a-monthly-budget-and-how-to-stick-to-it,"The Ultimate Guide To A Monthly Budget And How To Stick To It (Point #3 Is The Hardest)",44,13,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,"Image via","Policy Genius",,Dofollow,404,"2020-04-03 13:38:07","2019-11-08 12:10:31",0,0,11
21,70,10,0,http://kathyloke.says.com/my/lifestyle/the-ultimate-guide-to-a-monthly-budget-and-how-to-stick-to-it,"The Ultimate Guide To A Monthly Budget And How To Stick To It (Point #3 Is The Hardest)",44,13,https://www.policygenius.com/blog/dave-ramsey-term-life-insurance-whole-life-insurance/,"Image via","Policy Genius",,Dofollow,404,"2020-04-03 13:38:07","2019-11-13 17:56:24",0,0,11
22,50,10,0,https://www.sitelinks.info/visit.policygenius.com/,"Visit.policygenius.com | 3.216.251.45, Similar Webs, BackLinks Results",32,18,https://visit.policygenius.com/,Visit.policygenius.com,,,Nofollow,404,"2020-04-17 22:38:16","2020-04-13 14:05:13",0,0,10
