#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,24,https://www.policygenius.com/blog/are-you-missing-out-on-perks-from-your-health-insurance/,"Are you missing out on perks from your health insurance? | Policygenius",55,27,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/24-hour-nurse,Dofollow,"Advice Line that will connect you with a registered nurse.",UnitedHealthcare,"and Blue Cross Blue Shield’s Federal Employee Program also feature",404,"2020-04-10 12:14:57",2020-04-18T04:49:48Z
2,22,https://www.policygenius.com/blog/cat-claw-cats-cruel-or-safe/,"Are cat claw caps cruel, safe, or just ridiculous? | Policygenius",50,21,http://www.jacksongalaxy.com/blog/2010/10/01/cats-and-claws-living-happily-ever-after,Dofollow,"Cat behaviorist Jackson Galaxy has a","great post on his site","about teaching your cat not to scratch on furniture. Essentially,",404,"2020-04-12 13:08:36",2020-04-18T10:05:19Z
3,21,https://www.policygenius.com/life-insurance/what-is-a-life-insurance-beneficiary/,"What is a Life Insurance Beneficiary? | Policygenius",162,9,https://suicidepreventionlifeline.org/GetHelp/LifelineChat.aspx,Dofollow,"24/7 to talk. Please call them at 1-800-273-TALK (8255) or","reach out to them online",", for free, confidential support or resources for your loved",404,"2020-03-27 15:08:19",2020-04-15T17:51:23Z
4,20,https://www.policygenius.com/blog/9-weird-types-of-insurance-you-never-knew-existed/,"9 weirdest types of insurance | Policygenius",52,38,https://www.worldwidespecialrisks.co.uk/lottery-syndicate-insurance,Dofollow,"in the United Kingdom can take out what’s coined a","""lottery"" insurance policy",", protecting against financial losses stemming from a loss in",404,"2020-03-25 01:44:54",2020-04-18T18:27:32Z
5,18,https://www.policygenius.com/blog/americans-hate-getting-bumped-heres-how-to-keep-your-seat-on-a-holiday-flight/,"Americans hate getting bumped. How to keep your seat on a holiday flight | Policygenius",49,20,https://infogram.com/en/,Nofollow,,Infogram,,404,"2020-04-05 00:07:44",2020-04-14T08:48:15Z
6,17,https://www.policygenius.com/blog/5-mortgage-loan-fees-and-rates-you-should-always-negotiate/,"5 mortgage loan fees and rates you should always negotiate | Policygenius",65,23,"https://www.brooklaw.edu/sitecore/service/notfound.aspx?item=/faculty/directory/facultymember/biography&user=extranet\Anonymous&site=website",Dofollow,"outset, consider negotiating your real estate broker’s fees, according to","Prof. David Reiss","of the Brooklyn Law School, who teaches real estate finance",404,"2020-03-09 18:00:57",2020-04-13T17:03:56Z
7,17,https://www.policygenius.com/blog/review-cash-cow-couple/,"Cash Cow Couple | Review | Show me the moo-lah | Policygenius",54,34,https://www.cashcowcouple.com/frugality/your-best-anti-frugality-arguments-debunked/,Dofollow,,"Debunking Silly Arguments Against Frugality",,404,"2020-03-27 13:06:54",2020-04-14T15:57:41Z
8,17,https://www.policygenius.com/blog/money-pro-tips-a-q-a-with-financial-planner-roger-ma/,"Money pro tips: A Q&A with financial planner Roger Ma | Policygenius",43,20,http://www.vanguard.com/notfound.htm,Dofollow,"put the rest into a mix of index funds (",VTSAX,"and VTIAX ).",404,"2020-03-26 03:18:41",2020-04-20T16:59:37Z
9,15,https://www.policygenius.com/renters-insurance/best-renters-insurance-in-los-angeles/,"The Best Renters Insurance in Los Angeles",140,10,https://hcidla.lacity.org/renters,Dofollow,,"Housing Community Investment Department",": A great resource for LA renters to understand their",404,"2020-04-16 09:32:09",2020-04-07T14:11:24Z
10,15,https://www.policygenius.com/blog/5-apps-to-help-you-stop-texting-while-driving/,"5 apps to help you stop texting while driving | Policygenius",55,31,https://sfglobe.com/2015/07/22/psa-from-att-about-the-dangers-of-texting-while-driving/,Dofollow,"automobile crashes involved someone texting. The Virginia Tech Transportation Institute",reported,"that you’re six times more likely to get into a",404,"2020-04-08 21:18:13",2020-04-12T03:45:51Z
11,15,https://www.policygenius.com/blog/acorns-review-app-portfolio-investing/,"What's inside an Acorns portfolio? | Policygenius",60,21,http://www.vanguard.com/notfound.htm,Dofollow,"return for a comparable Vanguard bond fund such as the","Vanguard Short-Term Government Bond ETF","(VGSH), where we note the Risk Potential at 1. I",404,"2020-03-26 03:18:41",2020-04-14T14:55:06Z
12,15,https://www.policygenius.com/blog/unclaimed-money-state-guide/,"How to find unclaimed money: A state-by-state guide | Policygenius",48,46,https://www.nh.gov/treasury/unclaimed-property/,Dofollow,Website:,"New Hampshire State Treasury",,404,"2020-04-05 00:39:46",2020-04-11T01:08:50Z
12,15,https://www.policygenius.com/blog/unclaimed-money-state-guide/,"How to find unclaimed money: A state-by-state guide | Policygenius",48,46,https://www.treasury.state.la.us/unclaimed-property-division/,Dofollow,Website:,"Louisiana Department of the Treasury",,404,"2020-03-22 06:36:28",2020-04-11T01:08:50Z
13,15,https://www.policygenius.com/blog/how-to-get-a-motor-vehicle-report-in-your-state/,"How to get a Motor Vehicle Report: state-by-state guide | Policygenius",48,109,https://www.dmv.de.gov/services/vehicle_services/other/ve_other_records.shtml,Dofollow,"the form ( direct link ) and mail to the",DMV,.,404,"2020-03-18 12:45:01",2020-03-29T22:40:25Z
14,15,https://www.policygenius.com/blog/how-can-i-tell-if-my-dog-is-overweight/,"How can I tell if my dog is overweight? | Policygenius",52,25,https://petobesityprevention.org/pet-obesity-fact-risks/,Dofollow,"According to",APOP,", healthy-weight pets can live up to 2.5 years longer",404,"2020-04-14 19:10:44",2020-04-16T07:26:00Z
