#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"HTTP Code","DP check","RP check",Traffic,Keywords,"Linked Domains"
1,95,80,3717,https://en.wikipedia.org/wiki/Child,"Child - Wikipedia",327,234,https://www.ssa.gov/planners/disability/dacpage.shtml,"adult child as being over 18"" . Ssa.gov. Archived from","the original","on 1 October 2013",Nofollow,404,"2020-03-29 08:12:31","2020-03-18 06:32:03",23316,2128,189
2,95,55,,https://en.wikipedia.org/wiki/Social_Security_(United_States),"Social Security (United States) - Wikipedia",563,324,https://www.ssa.gov/history/ponzi.htm,"DeWitt, L. (January 2009).","""Research Note #25: Ponzi Schemes vs. Social Security""",". Social Security Administration .",Nofollow,404,"2020-03-21 05:03:20","2018-03-23 23:10:34",,,92
3,95,55,,https://en.wikipedia.org/wiki/Social_Security_(United_States),"Social Security (United States) - Wikipedia",563,324,https://www.ssa.gov/oha/,,SSA.gov,"Archived October 12, 2008, at the Wayback Machine .",Nofollow,404,"2020-03-21 03:41:28","2018-03-23 23:10:34",,,92
4,95,55,,https://en.wikipedia.org/wiki/Social_Security_(United_States),"Social Security (United States) - Wikipedia",563,324,https://www.ssa.gov/retirementpolicy/projections/special-minimum.html,"Special Minimum Benefit",[10],"accessed 26 Oct 2013",Nofollow,404,"2020-04-21 05:25:17","2018-03-23 23:10:34",,,92
5,89,52,733,https://www.federalregister.gov/documents/2018/10/10/2018-21106/inadmissibility-on-public-charge-grounds,"Federal Register :: Inadmissibility on Public Charge Grounds",359,524,https://www.ssa.gov/policy/docs/statcomps/ssi_monthly/2018-01/table01.html,"Statistics, & Policy Analysis,SSI Monthly Statistics, January 2018, available at",https://www.ssa.gov/​policy/​docs/​statcomps/​ssi_​monthly/​2018-01/​table01.html,"(last visited July 31, 2018).",Dofollow,404,"2020-02-13 17:17:06","2020-03-31 15:20:44",37,372,62
6,95,50,,https://en.wikipedia.org/wiki/Videoconferencing,"Videoconferencing - Wikipedia, the free encyclopedia",424,206,https://www.ssa.gov/appeals/odar_pubs/70-067.html,,"ODAE Pubs: 70-067","Archived February 9, 2011, at the Wayback Machine .",Nofollow,404,"2020-04-17 02:23:04","2016-08-04 03:48:17",,,98
7,95,48,,https://en.wikipedia.org/wiki/Chubby_Checker,"Chubby Checker - Wikipedia, the free encyclopedia",197,80,https://www.ssa.gov/pgm/flash/chubbychecker.htm,,"Chubby Checker says ""There's a New 'Twist' in the Law!""","(Social Security Public Service Announcements)",Nofollow,404,"2020-04-06 07:10:18","2016-08-12 08:29:48",,,58
8,95,44,467,https://en.wikipedia.org/wiki/Supplemental_Security_Income,"Supplemental Security Income - Wikipedia",238,60,https://www.ssa.gov/policy/research_sub109.html,,http://www.ssa.gov/policy/research_sub109.html,,Nofollow,404,"2020-03-29 18:36:18","2020-02-23 13:46:05",6647,2320,19
9,95,44,376,https://en.wikipedia.org/wiki/Videotelephony,"Videotelephony - Wikipedia",684,253,https://www.ssa.gov/appeals/odar_pubs/70-067.html,,"ODAE Pubs: 70-067","Archived February 9, 2011, at the Wayback Machine",Nofollow,404,"2020-04-17 02:23:04","2019-07-22 03:50:09",1438,2063,112
10,59,43,367,http://www.vlib.us/amdocs/,"Documents for the Study of American History: US History: AMDOCS: 800 - 2008 Primary Sources | www.vlib.us",189,2397,https://www.ssa.gov/OP_Home/ssact/comp-ssa.htm,,"1935, The Social Security Act, with a Compilation of the Social Security Laws",,Dofollow,404,"2020-03-22 00:18:35","2020-04-06 10:11:09",11,385,223
11,43,39,172,http://www.whatsmypdq.org/,"Whats my PDQ?",0,38,https://www.ssa.gov/planners/disability/dqualify.htm,,"« Link to Social Security Disability Benefits Planner.",,Dofollow,404,"2020-03-20 22:59:55","2020-04-06 22:13:23",6,56,15
12,79,38,216,https://www.factcheck.org/2012/06/obamas-spending-inferno-or-not/,"Obama's Spending: 'Inferno' or Not? - FactCheck.org",62,110,https://www.ssa.gov/cola/automatic-cola.htm,"U.S. Social Security Administration. “","History of Automatic Cost-Of-Living Adjustments",".” Web page. Accessed 4 Jun 2012.","Dofollow, Content",404,"2020-04-04 06:50:46","2020-04-07 18:55:19",26,97,32
13,91,37,251,https://www.law.cornell.edu/federal,"LII: Federal Law Collection | LII / Legal Information Institute",63,44,https://www.ssa.gov/SSA_Home.html,,"Social Security Administration",,Dofollow,404,"2020-03-31 05:53:57","2020-03-27 09:31:06",68,33,23
14,90,37,353,https://vi.wikipedia.org/wiki/Trẻ_em,"Trẻ em – Wikipedia tiếng Việt",188,211,https://www.ssa.gov/planners/disability/dacpage.shtml,,"“For example, the US Social Security department specifically defines an adult child as being over 18”",". Ssa.gov",Nofollow,404,"2020-03-29 08:12:31","2020-04-07 18:04:04",674,212,179
15,42,37,146,https://www.harp.org/,"HARP Home Page",131,381,https://www.ssa.gov/mediinfo.htm,"General Medicare Information: - from Medline - from SSA -","links from SSA","- links from CMS - Medicare Interactive",Dofollow,404,"2020-03-21 14:54:31","2020-04-01 12:19:06",1.2,12,158
16,90,36,140,http://www.tippecanoe.in.gov/,"Tippecanoe County, IN | Official Website",71,41,https://www.ssa.gov/chicago/indiana.htm,,"Social Security",,Dofollow,404,"2020-02-04 10:44:10","2020-04-07 06:19:43",0,0,26
17,38,36,122,http://www.worldsalaries.org/china.shtml,"China Average Salary Income - Job Comparison",35,25,https://www.ssa.gov/policy/docs/progdesc/ssptw/2004-2005/europe/China.html,"the 2004 income tax rates in China. The deductions include","social security","and income tax. The deductions are representative of single-earner-married-without-child status,",Dofollow,404,"2020-04-03 13:48:38","2020-04-05 07:00:22",86,115,10
18,95,35,,https://en.wikipedia.org/wiki/Internet_safety,"Internet safety - Wikipedia, the free encyclopedia",106,35,https://www.ssa.gov/myaccount/internetphishingalert.html,,"""Internet Phishing Alert""",.,Nofollow,404,"2020-03-31 18:17:22","2016-07-08 06:14:19",,,19
19,44,35,101,https://www.stopidentityfraud.org/,"StopIdentityFraud.org - Helping Consumers Protect Against Identity Theft",33,12,https://www.ssa.gov/kc/id_resources.htm,,"Social Security Administration",,Dofollow,404,"2020-04-22 18:43:52","2020-04-07 22:05:17",0,0,10
20,90,35,121,https://www.tippecanoe.in.gov/,"Tippecanoe County, IN | Official Website",71,41,https://www.ssa.gov/chicago/indiana.htm,,"Social Security",,Dofollow,404,"2020-02-04 10:44:10","2020-04-04 08:17:22",3592,385,26
21,55,34,121,https://whitehouse.gov1.info/continuity-plan/,"White House Continuity Of Government Plan and National Coop Exercise",9,69,https://www.ssa.gov/org/orgdcs.htm,,"Social Security Administration",,Dofollow,404,"2020-04-05 01:39:15","2020-04-23 14:47:12",186,160,40
