#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,53,https://www.ssa.gov/benefits/disability/,"Disability Benefits | Social Security Administration",57,20,https://health.gov/myhealthfinder/rxdrug/,Dofollow,,"Prescription Drug Assistance Programs",,404,"2020-03-24 16:50:06",2020-04-07T19:53:08Z
2,48,https://www.ssa.gov/benefits/ssi/,"Supplemental Security Income (SSI) Benefits | Social Security Administration",58,20,https://health.gov/myhealthfinder/rxdrug/,Dofollow,,"Prescription Drug Assistance Programs",,404,"2020-03-24 16:50:06",2020-04-03T11:29:30Z
3,35,https://www.ssa.gov/people/veterans/100pt.html,"Veterans Who Have a VA Compensation Rating of 100% P&T | Social Security Administration",52,34,https://nrd.gov/benefits_and_compensation/social_security_benefits,Dofollow,,"The National Resource Directory Social Security Benefits Page",,404,"2020-03-24 17:36:47",2020-04-22T02:45:29Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,"https://www.roku-private-channels.net/ /",Dofollow,"not worry if you do not know how to activate","Roku Private Channels","? Check the recent blog posts on our webpage. I",404,"2020-04-23 14:22:51",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,https://www.socialgoodreads.com/happy-new-year-wishes-quotes,Nofollow,"new year 2020 images | new year 2020 greetings |","new year quotes for friends",,404,"2020-04-14 22:58:08",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,https://www.socialgoodreads.com/happy-new-year-wishes-quotes-for-friend,Nofollow,,"Happy New Year 2020 quotes","| happy new year 2020 wishes | happy new year",404,"2020-04-12 20:10:09",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,"https://www.roku-private-channels.net/ /",Dofollow,"not worry if you do not know how to activate","Roku Private Channels","? Check the recent blog posts on our webpage. I",404,"2020-04-04 04:19:22",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,https://www.vservtech.com/quickbooks-database-server-manager/,Nofollow,,"QuickBooks Database Server Manager",,404,"2020-03-26 21:52:04",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,https://www.vservtech.com/quickbooks-error-code-6000/,Nofollow,,"QuickBooks Error Code 6000",,404,"2020-03-25 19:55:44",2020-04-19T09:33:28Z
4,33,https://blog.ssa.gov/social-security-honors-the-nations-heroes-on-memorial-day/,"Social Security Honors the Nation’s Heroes on Memorial Day | Social Security Matters",72,434,https://bookflights.us/new-york-to-los-angeles-flights.aspx,"Nofollow, UGC","with the best deals and packages with us. For more:",https://bookflights.us/new-york-to-los-angeles-flights.aspx,,404,"2020-01-28 17:46:36",2020-04-19T09:33:28Z
5,33,https://blog.ssa.gov/is-that-phone-call-from-us/,"Is that Phone Call From Us? | Social Security Matters",73,51,http://www.sea.gov/sign,"Nofollow, UGC","a message was waiting for me at mySocialSecurity. Login at",http://www.sea.gov/sign,"in to read it. You can change your preferencesabout wastewater","Cannot resolve host","2020-03-27 00:28:23",2020-04-20T12:58:08Z
5,33,https://blog.ssa.gov/is-that-phone-call-from-us/,"Is that Phone Call From Us? | Social Security Matters",73,51,https://lookup.robokiller.com/p/325-203-4198,"Nofollow, UGC",,https://lookup.robokiller.com/p/325-203-4198,,404,"2020-02-15 13:37:49",2020-04-20T12:58:08Z
6,33,https://www.ssa.gov/planners/disability/approval.html,"Benefits Planner: Disability | Approval Process | Social Security Administration",46,17,https://www.medicare.gov/sign-up-change-plans/medicare-health-plans/medicare-advantage-plans/how-medicare-advantage-plans-work.html,Dofollow,"by Medicare. For more information, we recommend you read Medicare's","How do Medicare Advantage Plans work?",,404,"2020-03-06 22:19:37",2020-04-21T05:48:42Z
7,32,https://blog.ssa.gov/protecting-your-social-security/,"Protecting Your Social Security | Social Security Matters",187,84,https://www.cbd-king.net/publisher/peak-distributors-llc,"Nofollow, UGC",,https://www.cbd-king.net/publisher/peak-distributors-llc,,404,"2020-03-22 12:42:01",2020-04-19T04:37:46Z
8,32,https://www.ssa.gov/international/links.html,"International Programs - Social Security in Other Countries",33,393,https://www.sfpd.fgov.be/Pages/LandingpageV3.aspx,Dofollow,,"Office national des pensions",,404,"2020-03-28 05:46:39",2020-04-21T07:40:28Z
8,32,https://www.ssa.gov/international/links.html,"International Programs - Social Security in Other Countries",33,393,https://www.pensionsmyndigheten.se/Welcome_en,Dofollow,,Premiepensionsmyndigheten,"(Premium Pension Authority)",404,"2020-03-24 23:34:41",2020-04-21T07:40:28Z
8,32,https://www.ssa.gov/international/links.html,"International Programs - Social Security in Other Countries",33,393,http://uahost.uantwerpen.be/csb/fiss/,Dofollow,,"Foundation for International Studies on Social Security",,404,"2020-03-15 15:27:45",2020-04-21T07:40:28Z
9,32,https://blog.ssa.gov/social-security-benefits-u-s-citizens-outside-the-united-states/,"Social Security Benefits U.S. Citizens Outside the United States | Social Security Matters",141,74,https://www.medicare.gov/people-like-me/outside-us/signing-up-for-part-b-outside-us.html,Nofollow,"premium charges in certain situations. For more information, visit “","Signing up for Part B outside the U.S.",”,404,"2020-03-24 19:03:12",2020-04-21T19:22:35Z
10,30,https://blog.ssa.gov/so-youve-lost-your-social-security-card/,"So You’ve Lost Your Social Security Card | Social Security Matters",116,76,https://www.hybrid-cars.net/bmw-x5-2019-hybrid-reviews/,Nofollow,New,"BMW X5 2019 Hybrid","is unquestionably a version that’s intended to be about the",404,"2020-03-23 19:58:19",2020-04-02T14:47:28Z
11,30,https://blog.ssa.gov/need-to-change-your-name-on-your-social-security-card/,"Need to Change Your Name on Your Social Security Card? | Social Security Matters",97,285,http://berkah365vip.com/agen-judi-bola-online-berkah365/,Nofollow,,Berkah365,"adalah situs Agen Judi Bola Terpercaya DiIndonesia.",404,"2020-03-31 08:01:45",2020-04-22T22:18:41Z
11,30,https://blog.ssa.gov/need-to-change-your-name-on-your-social-security-card/,"Need to Change Your Name on Your Social Security Card? | Social Security Matters",97,285,https://jawabandarq.net/”,Nofollow,,"poker online",,404,"2020-03-08 06:18:28",2020-04-22T22:18:41Z
12,30,https://www.ssa.gov/planners/retire/applying8.html,"Benefits Planner: Retirement | You Can Apply For Retirement Benefits Or Medicare | Social Security Administration",49,26,https://www.dol.gov/ebsa/publications/FIToolkit.html,Dofollow,,"Retirement Savings Toolkit",,404,"2020-03-29 13:33:54",2020-04-17T12:28:49Z
12,30,https://www.ssa.gov/planners/retire/applying8.html,"Benefits Planner: Retirement | You Can Apply For Retirement Benefits Or Medicare | Social Security Administration",49,26,https://www.dol.gov/ebsa/publications/main.html,Dofollow,,"Publications And Reports",,404,"2020-03-29 11:17:05",2020-04-17T12:28:49Z
13,30,https://blog.ssa.gov/how-to-create-a-my-social-security-account/,"How to Create a my Social Security Account | Social Security Matters",110,49,https://serialkeys.me/windows-7-professional/,"Nofollow, UGC",,https://serialkeys.me/windows-7-professional/,,404,"2020-03-26 03:49:45",2020-03-28T04:50:51Z
14,29,https://www.ssa.gov/policy/docs/ssb/v70n3/v70n3p1.html,"The Development of Social Security in America",34,12,https://obamawhitehouse.archives.gov/node/18060,Dofollow,", available at",http://www.whitehouse.gov/omb/budget/historicals/,.,404,"2020-04-08 11:12:45",2020-03-31T10:11:07Z
15,28,https://blog.ssa.gov/social-security-benefits-to-increase-in-2019/,"Social Security Benefits to Increase in 2019 | Social Security Matters",111,76,https://lil.ink/55867,"Nofollow, UGC",,https://lil.ink/55867,,404,"2020-04-21 18:56:17",2020-04-19T06:16:18Z
15,28,https://blog.ssa.gov/social-security-benefits-to-increase-in-2019/,"Social Security Benefits to Increase in 2019 | Social Security Matters",111,76,https://raymondwmccullough.wordpress.com/2019/06/10/tonsil-stones-smell,"Nofollow, UGC",,http://www.lookweb.it/54377,,"Cannot resolve host","2020-03-29 06:46:52",2020-04-19T06:16:18Z
16,27,https://blog.ssa.gov/protecting-your-social-security-number-from-identity-theft/,"Protecting Your Social Security Number from Identity Theft | Social Security Matters",94,73,http://123delights.com/blog/view/336375/biological-pest-control-revealed-on-this-page,"Nofollow, UGC",,http://123delights.com/blog/view/336375/biological-pest-control-revealed-on-this-page,,404,"2020-04-22 12:28:27",2020-04-21T12:01:05Z
16,27,https://blog.ssa.gov/protecting-your-social-security-number-from-identity-theft/,"Protecting Your Social Security Number from Identity Theft | Social Security Matters",94,73,http://www.wnsmygipbt.com/wNsMYgIPbt,"Nofollow, UGC",,http://www.wNsMYgIPbt.com/wNsMYgIPbt,,"Cannot resolve host","2020-04-15 16:44:29",2020-04-21T12:01:05Z
17,27,https://blog.ssa.gov/inspector-general-warns-public-about-caller-id-spoofing-of-social-security-fraud-hotline-phone-number/,"Inspector General Warns Public About Caller ID “Spoofing” of Social Security Fraud Hotline Phone Number | Social Security Matters",64,50,http://www.identityfraud.gov/ssa,"Nofollow, UGC","the recording, it says to go to the internet at",http://www.identityfraud.gov/ssa,"and, again there’s NO WAY TO GO. So – Here","Cannot resolve host","2020-04-22 09:50:41",2020-04-22T09:50:39Z
18,26,https://www.ssa.gov/reentry/benefits.htm,"Benefits after Incarceration",33,41,https://csgjusticecenter.org/jc/category/reentry/nrrc/,Dofollow,,"National Reentry Resource Center",,404,"2020-04-20 02:40:12",2020-04-21T18:28:28Z
18,26,https://www.ssa.gov/reentry/benefits.htm,"Benefits after Incarceration",33,41,https://www.americanbar.org/groups/probono_public_service/resources/volunteer_opportunities/reentry_projects/,Dofollow,,"Legal Aid Helps Successful Reentry",,404,"2020-04-02 17:18:17",2020-04-21T18:28:28Z
18,26,https://www.ssa.gov/reentry/benefits.htm,"Benefits after Incarceration",33,41,https://www.medicare.gov/your-medicare-costs/part-b-costs/penalty/part-b-late-enrollment-penalty.html,Dofollow,"long as you have Part B. Learn more about the","Part B late enrollment penalty.",,404,"2020-03-09 06:43:05",2020-04-21T18:28:28Z
19,26,https://www.ssa.gov/history/childb1.html,"Social Security History",20,1,http://www.acf.dhhs.gov/programs/cb/,Dofollow,"currently part of the Department of Health & Human Services'","Administration for Children and Families",.,"Cannot resolve host","2020-04-13 13:48:28",2020-04-20T05:00:01Z
20,26,https://blog.ssa.gov/finding-value-and-my-social-security-in-light-of-budget-cuts/,"Finding Value—and my Social Security—in light of Budget Cuts | Social Security Matters",80,55,https://boldwish.com/pages/first-copy-shoes,"Nofollow, UGC","You can buy first copy watches and","first copy shoes",,404,"2020-04-08 11:00:37",2020-04-20T16:16:23Z
20,26,https://blog.ssa.gov/finding-value-and-my-social-security-in-light-of-budget-cuts/,"Finding Value—and my Social Security—in light of Budget Cuts | Social Security Matters",80,55,https://boldwish.com/collections/first-copy-watches-men,"Nofollow, UGC","You can buy","first copy watches","and first copy shoes",404,"2020-03-31 17:13:05",2020-04-20T16:16:23Z
20,26,https://blog.ssa.gov/finding-value-and-my-social-security-in-light-of-budget-cuts/,"Finding Value—and my Social Security—in light of Budget Cuts | Social Security Matters",80,55,https://www.fema.gov/media/fhm/lomrf/ot_loma.html,"Nofollow, UGC",,https://www.fema.gov/media/fhm/lomrf/ot_loma.html,,404,"2020-03-08 02:28:49",2020-04-20T16:16:23Z
