#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,48,https://www.thebalance.com/us-deficit-by-year-3306306,"US Deficit by Year Compared to GDP, Debt, and Events",115,32,https://obamawhitehouse.archives.gov/node/18060,Dofollow,"Office of Management and Budget. “","Historical Tables",",” Download Table 1.1 - Summary of Receipts, Outlays, and",404,"2020-04-08 11:12:45",2020-04-05T18:20:45Z
2,41,https://www.thebalance.com/how-bitcoins-are-taxed-3192871,"The Tax Implications of Investing in Bitcoin",52,26,https://fairmark.com/traders/mtmacc.htm,Nofollow,"If you elect","market-to-market trading",", this would mean that all your gains are short-term",404,"2020-04-17 00:46:41",2020-04-06T16:08:35Z
3,41,https://www.thebalance.com/president-ronald-reagan-s-economic-policies-3305568,"President Ronald Reagan's Economic Policies",91,27,https://obamawhitehouse.archives.gov/node/18060,Dofollow,"a year, according to the Office of Management and Budget's","historical tables",". It grew from $678 billion at Carter's final budget in",404,"2020-04-08 11:12:45",2020-04-06T01:45:16Z
4,40,https://www.thebalance.com/what-has-obama-done-11-major-accomplishments-3306158,"President Obama's Economic Policies and Accomplishments",103,84,https://obamawhitehouse.archives.gov/node/338631,Dofollow,"The Whitehouse: President Barack Obama. ""","Health Care in America","."" Accessed April 7, 2020.",404,"2020-04-08 03:55:02",2020-04-07T22:38:15Z
5,40,https://www.thebalance.com/deficit-by-president-what-budget-deficits-hide-3306151,"US Deficit by President: What Budgets Hide",68,37,https://obamawhitehouse.archives.gov/node/18060,Dofollow,"Office of Management and Budget. “","Historical Tables",",” Download Table 1.1 - Summary of Receipts, Outlays, and",404,"2020-04-08 11:12:45",2020-04-06T21:59:44Z
6,38,https://www.thebalance.com/states-without-an-income-tax-3193345,"States That Do Not Tax Earned Income",53,34,http://www.akleg.gov/basis/get_documents.asp?docid=17151,Nofollow,"Alaska State Legislature. ”","History of Alaska Individual Income Tax",".” Accessed Feb. 19, 2020.",404,"2020-03-22 10:42:15",2020-03-31T09:58:19Z
7,38,https://www.thebalance.com/hurricane-katrina-facts-damage-and-economic-effects-3306023,"Hurricane Katrina: Facts, Damage, and Costs",59,87,https://coast.noaa.gov/states/fast-facts/hurricane-costs.html,Dofollow,"National Oceanic and Atmospheric Administration. ""","Hurricane Costs","."" Accessed Jan. 28, 2020.",404,"2020-04-05 13:25:37",2020-04-06T06:11:45Z
8,37,https://www.thebalance.com/how-much-should-i-have-in-my-emergency-fund-2388353,"Emergency Cash Reserves: How Much to Set Aside",69,25,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","What's the Right Emergency Fund Amount?",""" Accessed Nov. 16, 2019.",404,"2020-03-26 03:18:41",2020-04-07T16:26:25Z
9,36,https://www.thebalance.com/trade-wars-definition-how-it-affects-you-4159973,"Trade Wars: Definition, Trump vs China and EU",82,158,https://www.politico.com/story/2018/05/31/trump-trade-war-effects-581461?cid=apn,Dofollow,"Politico. ""","How the Trade War Hits Home",","" Accessed Dec. 6, 2019.",404,"2020-04-14 14:04:01",2020-04-06T02:48:38Z
10,36,https://www.thebalance.com/japan-s-economy-recession-effect-on-u-s-and-world-3306007,"Japan's Economy: Abenomics, Effect on U.S.",87,48,https://pressroom.toyota.com/toyota+production+north+america+nearly+two+million+in+2017/,Nofollow,"they had moved production into their markets. For example, T","oyota made 2 million vehicles","in the United States in 2017.",404,"2020-03-28 06:40:38",2020-04-06T10:52:50Z
11,35,https://www.thebalance.com/good-rate-roi-357326,"What Is a Good Return on Your Investments?",54,26,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Vanguard Portfolio Allocation Models","."" Accessed Jan. 31, 2020.",404,"2020-03-26 03:18:41",2020-04-07T19:58:05Z
12,35,https://www.thebalance.com/tax-planning-basics-3193487,"Reduce Your Taxable Income: Tax Deductions and Tax Credits",51,30,"https://www.irs.gov/retirement-plans/retirement-plans-faqs-regarding-iras-distributions-withdrawals\",Dofollow,"Internal Revenue Service (IRS). ""","IRA FAQs - Distributions (Withdrawals)","."" Accessed Feb. 25, 2020.",404,"2020-04-14 11:01:12",2020-04-06T22:29:35Z
13,35,https://www.thebalance.com/average-retirement-savings-by-age-4155888,"Average Retirement and Emergency Savings by Age",53,28,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","What’s the Right Emergency Fund Amount?",""" Accessed Feb. 12, 2020.",404,"2020-03-26 03:18:41",2020-04-20T04:39:19Z
14,35,https://www.thebalance.com/avoid-credit-card-debt-960043,"Ways to Avoid Credit Card Debt",60,24,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","What's the Right Emergency Fund Amount",","" Accessed Feb. 29, 2020.",404,"2020-03-26 03:18:41",2020-04-20T01:14:37Z
15,34,https://www.thebalance.com/reaganomics-did-it-work-would-it-today-3305569,"Reaganomics: Definition, Did It Work?",83,26,https://obamawhitehouse.archives.gov/node/18060,Dofollow,"Office of Management and Budget. “","Historical Tables",",” Download Table 4.1 - Summary of Receipts, Outlays, and",404,"2020-04-08 11:12:45",2020-04-19T22:31:54Z
16,34,https://www.thebalance.com/fdr-and-the-new-deal-programs-timeline-did-it-work-3305598,"FDR's New Deal: Definition, Programs, Policies",71,70,https://www.nlrb.gov/resources/national-labor-relations-act,Dofollow,"National Labor Relation Board. “","National Labor Relations Act",",” Accessed Feb. 29, 2020.",404,"2020-04-05 06:57:11",2020-04-18T23:02:11Z
17,34,https://www.thebalance.com/investing-in-index-funds-for-beginners-356318,"Investing in Index Funds for Beginners",84,37,http://www.vanguard.com/notfound.htm,Nofollow,"Vanguard. ""","Vanguard Announces the Passing of Founder John C. Bogle","."" Accessed April 14, 2020.",404,"2020-03-26 03:18:41",2020-04-18T23:43:26Z
