#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,14,https://www.aahd.us/national-center-on-research/disparities-data/,"Health Disparities Data Resources",116,104,http://www.kdheks.gov/disability/advisory_council.htm,Dofollow,"in Kansas,” PowerPoint presentation, Kansas Department of Health and Environment,",http://www.kdheks.gov/disability/advisory_council.htm,),404,"2020-03-26 15:45:00",2020-04-18T11:11:19Z
1,14,https://www.aahd.us/national-center-on-research/disparities-data/,"Health Disparities Data Resources",116,104,http://minorityhealth.hhs.gov/,Dofollow,"Minority Health. Assuring health equity for minority persons with disabilities.",http://minorityhealth.hhs.gov/,". Published July, 2011. Accessed November 20, 2015.",404,"2020-03-22 07:48:32",2020-04-18T11:11:19Z
2,13,https://www.aahd.us/2012/03/alabama-health-disability-programs/,"Alabama: Health & Disability Programs",115,30,https://mh.alabama.gov/MIDS/,Dofollow,"(334) 242-3454 (within the Montgomery calling area)",http://www.mh.alabama.gov/MIDS/,,404,"2020-04-15 22:35:43",2020-04-20T19:22:10Z
3,13,https://www.aahd.us/2012/03/wyoming-health-disability-programs/,"Wyoming: Health & Disability Programs",115,36,http://wdh.state.wy.us/familyhealth/csh/index.html,Dofollow,,http://wdh.state.wy.us/familyhealth/csh/index.html,,404,"2020-03-29 10:07:49",2020-04-23T01:00:20Z
4,13,https://www.aahd.us/public-policy/federal-disability-laws/,"Federal Disability Laws",100,87,https://www.justice.gov/crt/split,Dofollow,,http://www.usdoj.gov/crt/split,,404,"2020-04-20 05:46:29",2020-04-17T05:23:31Z
4,13,https://www.aahd.us/public-policy/federal-disability-laws/,"Federal Disability Laws",100,87,https://www.dol.gov/odep/newfreedom/index.htm,Dofollow,,http://www.dol.gov/odep/newfreedom/index.htm,,404,"2020-03-29 16:20:47",2020-04-17T05:23:31Z
4,13,https://www.aahd.us/public-policy/federal-disability-laws/,"Federal Disability Laws",100,87,https://www.dol.gov/odep/pubs/ek00/ticket.htm,Dofollow,,www.dol.gov,,404,"2020-03-29 15:28:23",2020-04-17T05:23:31Z
4,13,https://www.aahd.us/public-policy/federal-disability-laws/,"Federal Disability Laws",100,87,https://www.hud.gov/offices/fheo/index.cfm,Dofollow,,http://www.hud.gov/offices/fheo/index.cfm,,404,"2020-03-18 02:52:12",2020-04-17T05:23:31Z
4,13,https://www.aahd.us/public-policy/federal-disability-laws/,"Federal Disability Laws",100,87,https://www.transit.dot.gov/civilrights/civil_rights_2360.html,Dofollow,,http://www.fta.dot.gov/civilrights/civil_rights_2360.html,,404,"2020-02-10 09:16:47",2020-04-17T05:23:31Z
5,13,https://www.aahd.us/national-center-on-research/disability-links/cultural-competency/,"Cultural Competency",113,168,http://www.omhrc.gov/assets/pdf/checked/bcrg2005.pdf,Dofollow,,http://www.omhrc.gov/assets/pdf/checked/bcrg2005.pdf,,"Cannot resolve host","2020-04-23 01:50:53",2020-04-18T23:38:55Z
5,13,https://www.aahd.us/national-center-on-research/disability-links/cultural-competency/,"Cultural Competency",113,168,http://www.omhrc.gov/templates/browse.aspx?lvl=1&lvlID=3,Dofollow,,http://www.omhrc.gov/templates/browse.aspx?lvl=1&lvlID=3,,"Cannot resolve host","2020-04-23 01:50:53",2020-04-18T23:38:55Z
