#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
1,41,https://www.iii.org/fact-statistic/facts-statistics-hail,Facts + Statistics: Hail | III,64,16,https://www.iihs.org/news/detail/the-high-cost-of-hail-total-payouts-for-vehicle-damage-top-,Dofollow,A 2016 Highway Loss Data Institute (HLDI),study,"quantified hail-related claims under automobile insurance comprehensive coverage, based on",404,2020-04-02 22:42:06,2020-04-01T06:03:53Z,
2,40,https://www.iii.org/article/background-on-teen-drivers,Background On: Teen drivers | III,70,31,https://www.iihs.org/topics/laws/cellphonelaws?topicName=distracted-driving,Dofollow,"restricted in more than three dozen states, according to the",Insurance Institute for Highway Safety,. Text messaging is banned for all drivers in virtually,404,2020-03-17 08:37:42,2020-04-06T08:05:30Z,
3,40,https://www.iii.org/article/background-on-older-drivers,Background on: Older drivers | III,64,42,https://www.iihs.org/topics/laws/olderdrivers?topicName=older-drivers,Dofollow,will not voluntarily modify their driving habits. According to the,Insurance Institute for Highway Safety,", 21 states require older drivers to renew their drivers",404,2020-04-04 16:32:27,2020-03-24T00:49:06Z,
4,39,https://www.iii.org/article/background-on-distracted-driving,Background on: Distracted driving | III,66,33,https://www.iihs.org/news/detail/texting-bans-dont-reduce-crashes-effects-are-slight-crash-increases,Dofollow,analysis confirmed some of the results of an earlier HLDI,study,", released in September 2010, that found that texting bans",404,2020-04-12 11:55:58,2020-04-06T19:02:56Z,
5,38,https://www.iii.org/fact-statistic/facts-statistics-distracted-driving,Facts + Statistics: Distracted driving | III,65,24,https://www.iihs.org/news/detail/distracted-driving-cellphone-manipulations-up-57-percent-over-prior-survey,Dofollow,"In Virginia, IIHS",research,found that while overall hand-held phone interactions fell between 2014,404,2020-04-11 03:32:12,2020-04-04T13:50:46Z,
6,34,https://www.iii.org/fact-statistic/facts-statistics-sports-injuries,Facts + Statistics: Sports injuries | III,71,35,https://www.iihs.org/api/datastoredocument/status-report/pdf/48/9,Dofollow,four or six wheels designed for off-road use. A 2013,study,by the Insurance Institute for Highway Safety (IIHS) found that,404,2020-04-04 08:36:03,2020-04-13T08:32:12Z,
7,33,https://www.iii.org/services/directory/company-categories/state-insurance-departments,STATE INSURANCE DEPARTMENTS | III,98,265,http://www.nmprc.state.nm.us/id.htm,Dofollow,Web:,http://www.nmprc.state.nm.us/id.htm,,404,2020-03-31 17:41:05,2020-04-10T05:12:30Z,
7,33,https://www.iii.org/services/directory/company-categories/state-insurance-departments,STATE INSURANCE DEPARTMENTS | III,98,265,http://www.cbs.state.or.us/external/ins/,Dofollow,Web:,http://www.cbs.state.or.us/external/ins,,404,2020-03-21 07:02:16,2020-04-10T05:12:30Z,
8,33,https://www.iii.org/article/insurance-company-claims-filing-telephone-numbers,Insurance Company Claims Filing Telephone Numbers | III,61,30,https://www.chubb.com/businesses/claims/chubb1304.html,Dofollow,Chubb Group of Insurance Cos 800-252-4670 (800-CLAIMS-0);,Online Claim Reporting,Church Mutual Insurance 800-554-2642,404,2020-03-27 08:54:04,2020-04-14T08:14:11Z,
9,31,https://www.iii.org/article/background-on-earthquake-insurance-and-risk,Background on: Earthquake insurance and risk | III,69,23,https://disastersafety.org/earthquake/,Dofollow,"Insurance Institute for Business and Home Safety,",Earthquake Resources,,404,2020-04-02 14:23:23,2020-04-06T01:17:29Z,
10,31,https://www.iii.org/press-release/number-of-renters-is-on-the-rise-but-few-of-them-have-insurance-092214,Number of Renters Is On The Rise—But Few Of Them Have Insurance | III,92,15,https://www.earthquakeauthority.com/CEAindex.aspx,Dofollow,earthquakes from private insurance companies or in California from the,California Earthquake Authority,. Coverage is available either in the form of an,404,2020-04-16 21:57:36,2020-04-18T09:50:47Z,
