#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"HTTP Code","DP check","RP check",Traffic,Keywords,"Linked Domains"
1,85,30,62,https://money.com/save-money-car-gas-repairs-insurance/,"23 Tricks to Save Thousands on Your Car | Money",68,59,https://www.nerdwallet.com/blog/insurance/2013/08/21/study-student-drivers-poor-grades-pay-20-car-insurance/,"your insurer knows if your child gets good grades; a","NerdWallet study","found that teens with a “good student” discount paid an",Dofollow,404,"2020-03-13 14:58:35","2020-04-20 10:04:54",21,282,27
2,81,24,25,https://law.unlv.edu/faculty/jeffrey-stempel,"Jeffrey Stempel | UNLV - William S. Boyd School of Law",326,20,https://www.nerdwallet.com/blog/insurance/2014/11/17/credit-based-insurance-scoring-fair/,,"Is Credit-Based Insurance Scoring Fair? (Nerd Wallet)",,Dofollow,404,"2020-04-12 02:28:54","2020-04-17 21:48:45",18,36,14
3,0,19,19,https://termlifeinsurance.co/,"Term Life Insurance",11,21,https://www.nerdwallet.com/blog/insurance/what-is-the-difference-between-term-whole-life-insurance/]/,"Term insurance","premiums remain the same","for the entire length of the term. If you choose","Dofollow, Content",404,"2020-04-13 08:16:31","2020-04-14 02:40:06",0,0,8
4,90,18,9,https://www.vox.com/2015/7/8/8911279/rental-car-insurance,"Why rental car insurance is usually a rip-off - Vox",49,50,https://www.nerdwallet.com/blog/insurance/car-insurance-basics/nonowner-car-insurance/,"coverageis a very good idea. Alternatively, you can buy a","non-driver liability coverage","plan from Geico, Progressive, and a few other companies if","Dofollow, Content",404,"2020-04-18 08:09:23","2020-03-09 07:28:28",9,261,16
5,92,16,,https://www.bloomberg.com/news/articles/2015-02-17/the-rising-costs-of-health-care-for-cats-and-dogs,"The Rising Costs of Health Care—for Cats and Dogs - Bloomberg",128,50,https://www.nerdwallet.com/blog/insurance/2014/12/05/how-to-understand-pet-health-insurance-policy/,"illnesses as they age. Kerri Marshall, chief veterinary officer at",Trupanion,", says her company doesn’t raise premiums based on aging",Nofollow,404,"2020-03-30 01:08:43","2017-01-21 08:52:14",,,27
6,92,16,,https://www.bloomberg.com/news/articles/2015-02-17/the-rising-costs-of-health-care-for-cats-and-dogs,"The Rising Costs of Health Care—for Cats and Dogs - Bloomberg",128,50,https://www.nerdwallet.com/blog/insurance/how-to-understand-pet-health-insurance-policy/,"illnesses as they age. Kerri Marshall, chief veterinary officer at",Trupanion,", says her company doesn’t raise premiums based on aging",Nofollow,404,"2020-03-13 03:45:23","2017-01-21 08:52:14",,,27
7,72,16,1,https://www.hipwee.com/motivasi/harapan-tak-harus-segera-diwujudkan-kamu-pasti-naik-pelaminan-tapi-mungkin-bukan-sekarang/,"Harapan Tak Harus Segera Diwujudkan. Kamu Pasti Naik Pelaminan, Tapi Mungkin Bukan Sekarang!",63,17,https://www.nerdwallet.com/blog/insurance/property/travelers-best-renters-insurance/,"ada pasangan yang harus dimintai pertimbangan via",www.nerdwallet.com,,Dofollow,404,"2020-03-19 11:47:25","2020-04-19 10:08:01",0,0,13
8,87,16,4,https://www.csmonitor.com/Business/Saving-Money/2015/1019/Identity-theft-doesn-t-have-to-happen-to-you,"Identity theft doesn't have to happen to you - CSMonitor.com",130,17,https://www.nerdwallet.com/blog/insurance/specialty/protect-identity-theft/,"security and other privacy best practices, check out resources from",NerdWallet,", the Federal Trade Commission and others.","Nofollow, Content",404,"2020-03-28 06:40:47","2019-11-23 16:45:29",0,0,7
9,89,15,0,https://consumercal.org/category/cfc-in-the-news/page/3/,"CFC in the News | Consumer Federation of California | Page 3",48,13,https://www.nerdwallet.com/blog/insurance/2015/05/22/ridesharing-drivers-stuck-insurance-limbo/,"by Alice Holbrook,",NerdWallet,,Dofollow,404,"2020-03-29 14:50:37","2020-04-10 12:10:22",0,0,10
10,90,15,,http://money.stackexchange.com/questions/37287/where-to-get-liability-insurance-for-car-rentals-as-an-add-on-to-visa-collision,"Where to get liability insurance for car rentals, as an add-on to Visa Collision Damage Waiver? - Personal Finance & Money Stack Exchange",152,29,https://www.nerdwallet.com/blog/insurance/car-insurance-basics/nonowner-car-insurance/,NerdWallet:,"Non-Owner Car Insurance",,Nofollow,404,"2020-04-18 08:09:23","2017-03-28 01:34:06",,,12
11,69,15,2,https://www.lisa.org/consumer-advisors/advisor-news,"Advisor News | LISA",129,211,https://www.nerdwallet.com/blog/insurance/2015/06/02/hybrid-life-insurance-long-term-care-policies/,,"Hedging Your Bets With Hybrid Life Insurance and Long-Term-Care Policies",,Dofollow,404,"2020-03-12 14:34:02","2020-03-14 17:26:11",2.6,32,52
12,63,15,0,https://www.aceable.com/blog/save-money-teen-car-insurance-these-3-tips/,"Save Money on Teen Car Insurance With These 3 Tips",39,15,https://www.nerdwallet.com/blog/insurance/cars-cheapest-auto/,"Here are the five least-expensive vehicles to insure among","the 25 best-selling models",:,"Dofollow, Content",404,"2020-04-17 19:34:09","2020-04-12 09:58:30",0.01,5,11
13,90,14,0,https://law.duke.edu/news/archives/2015,"News Archive for 2015 | Duke University School of Law",324,764,https://www.nerdwallet.com/blog/insurance/2015/02/03/terrorism-insurance-tria-renewal/,,"Peck comments on Terrorism Risk Insurance Act | nerdwallet",,Dofollow,404,"2020-04-14 15:25:54","2020-03-22 14:44:17",0.38,6,212
14,77,14,2,https://www.insurancebusinessmag.com/us/news/breaking-news/dog-breeds-with-the-most-and-least-expensive-insurance-rates-20098.aspx,"Dog breeds with the most and least expensive insurance rates | Insurance Business",65,17,https://www.nerdwallet.com/blog/insurance/2014/11/02/breeds-best-pet-insurance-rates/,A,"new report from Nerd Wallet","examines the breeds insurers go easy on, as well as","Nofollow, Content",404,"2020-03-29 17:08:42","2020-04-05 05:27:08",0.13,31,11
15,77,14,2,https://www.propertycasualty360.com/2014/11/13/the-4-insurance-truths-that-customers-still-dont-u/,"The 4 insurance truths that customers still don’t understand | PropertyCasualty360",71,26,https://www.nerdwallet.com/blog/insurance/2014/09/09/4-insurance-experts-knew/,"Note: This article first appeared at NerdWallet.com. Click",here,"to read the original.","Dofollow, Content",404,"2020-03-09 09:26:57","2020-04-12 08:17:34",0,0,9
16,93,14,0,https://medium.com/behind-the-wheel/my-uber-breaking-point-c0786c487714,"My Uber Breaking Point – Behind the Wheel – Medium",17,103,https://www.nerdwallet.com/blog/insurance/2015/04/21/ridesharing-insurance/,"they created: an app-based taxi service for non-professional, unregulated and",underinsured,"drivers. It’s obvious Uber doesn’t care about anything but world","Nofollow, Content",404,"2020-03-21 10:09:32","2019-06-03 07:39:00",0.82,74,34
17,93,14,0,https://medium.com/@golaynor01/dyman-associates-insurance-group-of-companies-tokyo-reviews-når-ikke-at-købe-billige-bilforsikring-a0dab35d1195,"Dyman Associates Insurance Group of Companies Tokyo Reviews: Når ikke at købe billige Bilforsikring…",14,6,https://www.nerdwallet.com/blog/insurance/2015/02/27/buy-cheap-car-insurance-online/,"Ingen enkelt løsning virker for alle, når det kommer til","auto forsikring",". Det er sandt for politikker og metoder for at","Dofollow, Content",404,"2020-03-19 23:57:49","2019-07-14 20:27:43",0,0,4
18,64,14,4,https://born2invest.com/articles/quick-guide-choosing-life-insurance/,"A quick guide to choosing the right life insurance for you",49,9,https://www.nerdwallet.com/blog/insurance/types-of-life-insurance/)/,"There are two primary","categories of life insurance",", term life insurance, and permanent life insurance. The latter","Dofollow, Content",404,"2020-03-26 07:42:46","2020-04-18 05:17:56",0,1,4
19,90,14,1,https://lifehacker.com/read-your-insurance-definitions-to-know-when-snow-damag-1669162388,"Read Your Insurance Definitions to Know When Snow Damage is Covered",22,34,https://www.nerdwallet.com/blog/insurance/2014/12/03/homeowners-insurance-cover-snow-damage-buffalo-new-york/,,"Will Homeowners Insurance Cover Snow Damage?",,"Dofollow, Content",404,"2020-03-24 10:59:13","2020-03-17 03:25:57",0,0,17
20,90,13,1,https://blog.aarp.org/11-things-we-didnt-know-last-week/11-things-we-didnt-know-last-week-56,"11 Things: Gut Bacteria, Office Windows Are Good, Most-Stolen Vehicles",408,35,https://www.nerdwallet.com/blog/insurance/2014/08/18/cities-soccer-moms-dads-insurance/,,NerdWallet,,"Dofollow, Content",404,"2020-04-14 15:39:34","2019-09-11 22:19:58",0,0,19
21,81,13,2,https://oklahoman.com/article/feed/953167/why-you-should-be-careful-when-lending-out-your-car,"Why You Should Be Careful When Lending Out Your Car",95,32,https://www.nerdwallet.com/blog/insurance/car-insurance-basics/nonowner-car-insurance/,,"non-owner auto insurance",,Dofollow,404,"2020-04-18 08:09:23","2020-02-10 22:48:57",0,1,17
