#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,38,https://www.progressive.com/about/,"About Us | Progressive",95,22,https://progressive.mediaroom.com/facts-and-firsts/,Dofollow,,"Quick facts & helpful resources",,404,"2020-03-24 23:31:43",2020-04-05T05:52:59Z
2,26,https://www.progressive.com/homeowners/homeowners-companies/,"Progressive Home Advantage Companies | Progressive",80,36,http://www.amig.com/aboutus.html,Dofollow,,"American Modern",,404,"2020-04-19 03:06:57",2020-04-17T03:29:40Z
3,25,https://www.progressive.com/lifelanes/adventure/nmma-boat-shows/,"Progressive boat shows | Life Lanes",25,48,http://www.louisvilleboatrvshow.com/,Dofollow,,LouisvilleBoatRVShow.com,,404,"2020-04-02 20:08:10",2020-03-30T11:21:38Z
3,25,https://www.progressive.com/lifelanes/adventure/nmma-boat-shows/,"Progressive boat shows | Life Lanes",25,48,https://www.sportshows.com/chicago/,Dofollow,,Sportshows.com/Chicago,,404,"2020-04-01 00:41:01",2020-03-30T11:21:38Z
3,25,https://www.progressive.com/lifelanes/adventure/nmma-boat-shows/,"Progressive boat shows | Life Lanes",25,48,https://www.sportshows.com/suffern/,Dofollow,,sportshows.com/suffern,,404,"2020-03-29 09:42:46",2020-03-30T11:21:38Z
3,25,https://www.progressive.com/lifelanes/adventure/nmma-boat-shows/,"Progressive boat shows | Life Lanes",25,48,https://www.sportshows.com/saltwater/,Dofollow,,Sportshows.com/Saltwater,,404,"2020-03-15 22:00:33",2020-03-30T11:21:38Z
4,16,https://www.progressive.com/lifelanes/on-the-road/vehicle-maintenance-checklist-5-money-saving-tips/,"Vehicle maintenance checklist: 5 money-saving tips | Life Lanes",27,11,https://www.asirt.org/initiatives/informing-road-users/road-safety-facts/road-crash-statistics,Dofollow,Between,"20-50 million people","are hurt every year in a car accident.",404,"2020-04-02 12:00:42",2020-04-18T13:09:04Z
5,15,https://www.progressive.com/lifelanes/on-the-road/fighting-back-drowsy-driving/,"Fighting back against drowsy driving | Life Lanes",25,16,https://www.sleepfoundation.org/excessivesleepiness/sleep-news/how-stay-awake-the-road-tips-combat-drows%C9,Dofollow,"feel listening to lively music as you drive works well.","A cup of caffeine",", while not advisable before bedtime, will banish drowsiness for",404,"2020-04-02 22:49:04",2020-04-18T08:04:52Z
6,15,https://www.progressive.com/agent/local-agent/south-carolina/aiken/bates-smith-strickland-ins-agency/,"BATES, SMITH & STRICKLAND INS AGENCY, Aiken: (803) 648-8792 | Progressive Agent",27,7,http://batessmithstricklandins.com/,Dofollow,,"Visit our website",,404,"2020-04-17 03:33:44",2019-07-28T00:33:00Z
7,15,https://www.progressive.com/agent/local-agent/nebraska/wahoo/farmers-mutual-united-agency/,"Farmers Mutual United Agency Insurance, Wahoo: (402) 443-3186 | Progressive Agent",26,8,http://farmersmutualunitedagency.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-03-02 08:28:39",2020-04-11T12:11:39Z
8,14,https://www.progressive.com/lifelanes/household/wildfire-safety-tips/,"Wildfire safety tips | Life Lanes",27,13,https://www.readyforwildfire.org/Fire-Safe-Landscaping/,Dofollow,"take to protect your home. Learn more about that process",here,.,404,"2020-03-19 10:36:14",2020-04-18T10:49:37Z
9,14,https://www.progressive.com/agent/local-agent/iowa/indianola/gavin-insurance-agency/,"ONSTOT INSURANCE AGENCY, Indianola: (515) 961-3377 | Progressive Agent",28,7,http://www.onstotinsurance.com/,Dofollow,,"Visit our website",,404,"2020-04-12 23:44:22",2019-10-20T02:37:07Z
10,14,https://www.progressive.com/agent/local-agent/michigan/st-joseph/insurance-management-service-inc/,"Insurance Management Service, Inc., St Joseph: (269) 983-7101 | Progressive Agent",27,7,http://www.imsagency.biz/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-03-05 22:06:37",2019-06-21T09:16:57Z
11,14,https://www.progressive.com/agent/local-agent/new-jersey/elizabeth/first-americano-insurance-agency-07201/,"First Americano Insurance Agency, Elizabeth: (908) 355-9090 | Progressive Agent",27,7,http://www.firstamericanoinsurance.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-02-21 19:28:38",2019-07-30T00:37:00Z
12,14,https://www.progressive.com/agent/local-agent/texas/galveston/insurance-junction-inc/,"Insurance Junction, Inc, Galveston: (409) 762-3295 | Progressive Agent",27,7,http://www.galvestonautomobileinsurance.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-03-26 22:49:26",2019-07-28T00:31:10Z
13,14,https://www.progressive.com/agent/local-agent/ohio/new-bremen/miller-insurance-agency-45869/,"Miller Insurance Agency, New Bremen: (419) 629-2791 | Progressive Agent",27,8,http://www.francis-condon.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-04-01 07:28:46",2019-09-28T03:14:39Z
14,14,https://www.progressive.com/agent/local-agent/louisiana/ponchatoula/jackson-vaughan-agency-inc/,"Jackson-Vaughan Agency, Inc. Insurance, Ponchatoula: (985) 386-3511 | Progressive Agent",27,7,http://www.northlakeins.net/jv.html,Dofollow,,"Visit our website",,404,"2020-04-20 16:08:47",2019-09-18T17:19:18Z
15,14,https://www.progressive.com/agent/local-agent/minnesota/rochester/think-insurance/,"Think Insurance, Rochester: (507) 285-3111 | Progressive Agent",27,9,https://www.thinkbank.com/insurance/,Dofollow,,"Visit our website",,404,"2020-03-23 07:01:16",2019-07-26T16:41:17Z
15,14,https://www.progressive.com/agent/local-agent/minnesota/rochester/think-insurance/,"Think Insurance, Rochester: (507) 285-3111 | Progressive Agent",27,9,https://www.thinkbank.com/insurance,Dofollow,,"Visit our website",,404,"2020-03-17 17:28:53",2019-07-26T16:41:17Z
16,14,https://www.progressive.com/agent/local-agent/maryland/easton/avon-dixon-elliott-wilson/,"Avon Dixon/Elliott Wilson Insurance, Easton: (410) 820-7797 | Progressive Agent",27,8,https://www.shoreunitedbank.com/insurance,Dofollow,,"Visit our website",,404,"2020-03-25 05:55:37",2019-09-12T13:29:25Z
17,14,https://www.progressive.com/agent/local-agent/new-jersey/hawthorne/len-mor-agency-inc/,"Len-Mor Agency Inc. Insurance, Vernon: (973) 423-4542 | Progressive Agent",25,8,http://lenmoragency.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-03-20 19:28:34",2020-03-20T19:28:34Z
18,14,https://www.progressive.com/agent/local-agent/kansas/overland-park/tru-insurance-services-llc/,"Tru Insurance Services LLC, Overland Park: (913) 385-5000 | Progressive Agent",27,8,http://www.tru-ins.com/,Dofollow,,"Visit our website",,404,"2020-03-19 10:29:21",2019-06-27T11:22:34Z
19,14,https://www.progressive.com/agent/local-agent/massachusetts/mattapoisett/ghdunn-insurance-agency-inc/,"G.H.Dunn Insurance Agency, Inc., Mattapoisett: (508) 758-3731 | Progressive Agent",27,9,https://www.ghdunninsurance.com/,Dofollow,,"Visit our website",,404,"2020-04-16 11:37:32",2019-08-23T10:07:16Z
19,14,https://www.progressive.com/agent/local-agent/massachusetts/mattapoisett/ghdunn-insurance-agency-inc/,"G.H.Dunn Insurance Agency, Inc., Mattapoisett: (508) 758-3731 | Progressive Agent",27,9,http://www.ghdunninsurance.com/,Dofollow,,"Visit our website",,404,"2020-04-07 22:24:21",2019-08-23T10:07:16Z
20,14,https://www.progressive.com/agent/local-agent/texas/universal-city/texas-roadrunner-insurance-agency/,"Texas Roadrunner Insurance Agency, Universal City: (210) 391-4267 | Progressive Agent",25,8,http://www.txroadrunnerins.com/,Dofollow,,"Visit our website",,"Cannot resolve host","2020-03-13 05:10:17",2020-04-02T16:17:48Z
